,context_path,question_ans_path,chunking_strategy,embedding_model,memory_type,retrieve_type,vector_store,context_precision,faithfulness,answer_relevancy,context_recall,context_relevancy,answer_correctness,answer_similarity
0,../data/Evaluation Sets/Raptor Contract.docx,../data/Evaluation Sets/Raptor Q&A2.docx,NAIVE,OPENAI_EMBEDDING,CONVERSATION_BUFFER,PARENT_DOCUMENT,CHROMA,0.46428571425,0.8727272727272727,0.8362581056038787,0.7057142857142856,0.06421179732341606,0.5523582405340776,0.8017047076848599
1,../data/Evaluation Sets/Raptor Contract.docx,../data/Evaluation Sets/Raptor Q&A2.docx,RECURSIVE,OPENAI_EMBEDDING,CONVERSATION_BUFFER,PARENT_DOCUMENT,CHROMA,0.2857142856892857,0.8333333333333334,0.5418264884710424,0.8571428571428571,0.49523809523809526,0.3863195330430707,0.7911964995192214
2,../data/Evaluation Sets/Raptor Contract.docx,../data/Evaluation Sets/Raptor Q&A2.docx,SEMANTIC,OPENAI_EMBEDDING,CONVERSATION_BUFFER,PARENT_DOCUMENT,CHROMA,0.5357142856761905,0.8973214285714286,0.7780524315353344,0.5714285714285714,0.027480336077916327,0.48340884620840047,0.797617138489872
